id,species,scientific,group,raritycode,pelagic,shorebird,passerine,waterfowl,perennial,vagrant,migrant,breeder,winter,X1.1,X1.2,X1.3,X1.4,X2.1,X2.2,X2.3,X2.4,X3.1,X3.2,X3.3,X3.4,X4.1,X4.2,X4.3,X4.4,X5.1,X5.2,X5.3,X5.4,X6.1,X6.2,X6.3,X6.4,X7.1,X7.2,X7.3,X7.4,X8.1,X8.2,X8.3,X8.4,X9.1,X9.2,X9.3,X9.4,X10.1,X10.2,X10.3,X10.4,X11.1,X11.2,X11.3,X11.4,X12.1,X12.2,X12.3,X12.4,presence
115,Common Murre,Uria aalge,Alcids,1,1,0,0,0,0,1,0,0,0,0.000186428,0,0.000503398,0.000538358,0.012242268,0.010207442,0.000969368,0.002167854,0.00127348,0,0,0,0,0.000654706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000598819
116,Common Nighthawk,Chordeiles minor,Caprimulgiformes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116115,0.000209424,0.003619737,0.008542714,0.009571559,0.008243646,0.003278857,0.004705882,0.00187832,0.004340278,0.002242152,0.002953337,0.006948156,0.004366812,0.00445236,0.005450734,0.007708479,0.025997899,0.035714286,0.036290323,0.028452875,0.024866785,0.012075718,0.014519617,0.001797268,0.000671291,0.000606067,0,0,0,0,0,0,0,0.005430536
117,Common Raven,Corvus corax,Corvids,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00095511,0,0,0,0,0,0.000271297,0.000209424,0,0,0,0,0,0,0,0,0,0.000590667,0,0,0,0,0.000525053,0,0,0,0,0,0.001631854,0,0.000729511,0.000223764,0.000860585,0,0,0,0,0,0.000414079,0.0002292,0.000138345
118,Common Redpoll,Acanthis flammea,Finches,1,0,0,1,0,0,1,0,0,0,0.002796421,0.000928719,0.000503398,0.00269179,0.000966495,0.001316431,0.000581621,0.002167854,0.003537249,0.000958773,0,0,0,0,0.000271297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223764,0.001290878,0.000597015,0.003948313,0.001719198,0.003900156,0.003986333,0.000828157,0.001146,0.00071583
119,Common Tern,Sterna hirundo,Gulls/Terns,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003431513,0.005,0.010309278,0.023036649,0.055248619,0.088609715,0.09958979,0.096633845,0.100571429,0.107647059,0.13712168,0.150173611,0.192825112,0.201417602,0.218599679,0.216885007,0.229296527,0.187002096,0.1899089,0.168329832,0.187337662,0.171836228,0.128334321,0.090332403,0.052545692,0.036144578,0.020488857,0.018796151,0.010327022,0.005970149,0.003589375,0.000286533,0.000390016,0,0.000372671,0,0.06684145
120,Common Yellowthroat,Geothlypis trichas,Warblers,1,0,0,1,0,0,0,1,1,0,0.001491424,0.001183082,0.000251699,0.001345895,0.00064433,0.000329272,0.000193874,0.000619387,0,0.001275328,0.00115141,0.001137915,0.004289391,0.085882353,0.1779707,0.282722513,0.35587731,0.369346734,0.376025524,0.331119762,0.324,0.341764706,0.344657196,0.328993056,0.304372197,0.367395157,0.365579904,0.302401747,0.210596616,0.141719078,0.136650315,0.186712185,0.252922078,0.334367246,0.343805572,0.326059376,0.317232376,0.253629904,0.127606039,0.079436115,0.017641997,0.011343284,0.008255564,0.004297994,0.00351014,0.00284738,0.004140787,0.002521201,0.154944106
121,Connecticut Warbler,Oporornis agilis,Warblers,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000787815,0.008116883,0.017369727,0.01511559,0.016239533,0.022519582,0.004942848,0.001797268,0.000895055,0,0,0,0,0,0,0,0,0.00182884
122,Cooper's Hawk,Accipiter cooperii,Raptors,1,0,0,0,0,1,0,0,1,1,0.067300522,0.051168293,0.050591493,0.050336474,0.054768041,0.047744485,0.049050019,0.043976463,0.038522763,0.039629275,0.040011514,0.043240783,0.0471833,0.057058824,0.046663049,0.050471204,0.035054296,0.032663317,0.024156791,0.018319212,0.026857143,0.024117647,0.017294626,0.034288194,0.023542601,0.019492026,0.014430786,0.019286754,0.021371327,0.053249476,0.067274001,0.078256303,0.138636364,0.181141439,0.21250741,0.255265161,0.319843342,0.30738338,0.307332854,0.285970016,0.220309811,0.145373134,0.137832017,0.13008596,0.102964119,0.104214123,0.0873706,0.07471923,0.089548333
123,Cory's Shearwater,Calonectris diomedea,Shearwaters/Petrels,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000455789,0,0.001142857,0,0.008029648,0.00390625,0.000560538,0.001181335,0.001603421,0.00727802,0,0.010901468,0.014365802,0.006827731,0.00487013,0.005583127,0.000296384,0.001268714,0,0.000308928,0,0.001342582,0,0,0.000717875,0,0,0,0,0,0.001471679
124,Crested Caracara,Caracara cheriway,Falcons,1,0,0,0,0,0,1,0,0,0,0,0.005323869,0.000755097,0,0,0,0.000307387,0.000309693,0.00031837,0.006711409,0.000575705,0.003641329,0.00457535,0.000588235,0,0,0.000571537,0,0,0.00050458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000503803
